,age,serveTime,ApplyCard,credLimit,Loan,SalPerY,holdCard,Caree
469,,,[],800000,0,,0,2
470,22,36,['中信'],,,500000,0,1
471,42,33,[],,0,1600000,0,2
472,41,24,[],,0,1600000,0,2
473,28,72,[],,3,450000,1,2
474,31,,['新光'],,0,500000,1,2
475,,,[],,,,0,2
476,,144,"['中信', 'LINEPay', '台新', 'GoGo', '國泰', 'KOKO']",120000,2,,0,3
477,29,24,[],800000,2,500000,1,2
478,29,,[],,1,700000,1,2
479,33,108,[],,2,,1,2
480,32,0,[],330000,0,720000,1,2
481,,60,"['中信', 'LINEPay', '國泰', 'KOKO', '兆豐', 'e秒刷鈦金卡', '華南']",,2,,0,4
482,30,12,"['中信', 'LINEPay', '中信兄弟聯名卡']",120000,0,500000,0,2
483,,,[],,,,0,2
484,24,12,[],,0,500000,0,2
485,27,6,[],,1,410000,1,2
486,32,96,[],,0,750000,0,2
487,28,24,[],,,,0,3
488,,2,[],150000,,500000,1,1
489,27,9,[],,1,500000,1,2
490,26,12,"['中信', '花旗', '國泰', '富邦', '台新', '玉山', '凱基']",80000,0,450000,1,2
491,,,[],700000,,,0,2
492,34,96,[],,0,,1,2
493,27,5,[],300000,0,,1,2
494,27,52,[],,,450000,0,2
495,37,,[],1500000,2,,0,2
496,,12,"['LINEPay', '花旗']",,0,700000,1,2
497,28,12,[],,3,850000,1,2
498,,,[],,,,0,2
499,25,12,[],120000,0,500000,1,2
500,31,56,['中信'],120000,3,1200000,1,4
501,23,2,['中信'],120000,0,400000,0,2
502,29,24,[],450000,0,200,0,2
503,40,216,[],,0,720000,1,2
504,29,36,['中信'],120000,3,770000,1,2
505,27,12,[],325000,0,150,1,2
506,,,[],,,,0,2
507,24,4,[],,,,0,2
508,28,36,"['中信', '渣打']",360000,0,,1,2
509,29,4,[],,,0,0,3
510,27,48,['中信'],440000,3,,1,2
511,25,25,"['中信', 'LINEPay']",20000,0,150000,1,2
512,20,24,[],,0,,0,2
513,24,0,['中信'],200000,0,1000000,0,2
514,32,36,[],300000,3,1000000,0,2
515,,24,"['中信', 'LINEPay']",185000,0,,0,2
516,25,12,[],,,600000,0,2
517,,,[],,,,0,2
518,25,7,"['中信', 'LINEPay']",60000,1,360000,0,2
519,24,24,[],,0,380000,1,2
